Fecha,Dia,Sesion,Horario,Ponente,Tema,Nota / Jag
2026-02-04,Miércoles,Tarde,12:40 – 13:40,,,
2026-02-09,Lunes,Mañana,11:30 – 12:30,,,
2026-02-11,Miércoles,Tarde,12:40 – 13:40,,,
2026-02-16,Lunes,Mañana,11:30 – 12:30,,,
2026-02-18,Miércoles,Tarde,12:40 – 13:40,,,
2026-02-23,Lunes,Mañana,11:30 – 12:30,,,
2026-02-25,Miércoles,Tarde,12:40 – 13:40,,,
2026-03-02,Lunes,Mañana,11:30 – 12:30,,,
2026-03-04,Miércoles,Tarde,12:40 – 13:40,,,
2026-03-09,Lunes,Mañana,11:30 – 12:30,,,
2026-03-11,Miércoles,Tarde,12:40 – 13:40,,,
2026-03-16,Lunes,Mañana,11:30 – 12:30,,,
2026-03-18,Miércoles,Tarde,12:40 – 13:40,,,
2026-03-23,Lunes,Mañana,11:30 – 12:30,,,Purim
2026-03-25,Miércoles,Tarde,12:40 – 13:40,,,
2026-03-30,Lunes,Mañana,11:30 – 12:30,,,
2026-04-01,Miércoles,Tarde,12:40 – 13:40,,,
2026-04-06,Lunes,Mañana,11:30 – 12:30,,,
2026-04-08,Miércoles,Tarde,12:40 – 13:40,,,
2026-04-13,Lunes,Mañana,11:30 – 12:30,,,
2026-04-15,Miércoles,Tarde,12:40 – 13:40,,,
2026-04-20,Lunes,Mañana,11:30 – 12:30,,,
2026-04-22,Miércoles,Tarde,12:40 – 13:40,,,
2026-04-27,Lunes,Mañana,11:30 – 12:30,,,
2026-04-29,Miércoles,Tarde,12:40 – 13:40,,,
2026-05-04,Lunes,Mañana,11:30 – 12:30,,,
2026-05-06,Miércoles,Tarde,12:40 – 13:40,,,
2026-05-11,Lunes,Mañana,11:30 – 12:30,,,
2026-05-13,Miércoles,Tarde,12:40 – 13:40,,,
2026-05-18,Lunes,Mañana,11:30 – 12:30,,,
2026-05-20,Miércoles,Tarde,12:40 – 13:40,,,
2026-05-25,Lunes,Mañana,11:30 – 12:30,,,
2026-05-27,Miércoles,Tarde,12:40 – 13:40,,,
2026-06-01,Lunes,Mañana,11:30 – 12:30,,,
2026-06-03,Miércoles,Tarde,12:40 – 13:40,,,
2026-06-08,Lunes,Mañana,11:30 – 12:30,,,
2026-06-10,Miércoles,Tarde,12:40 – 13:40,,,Shavuot
2026-06-15,Lunes,Mañana,11:30 – 12:30,,,
2026-06-17,Miércoles,Tarde,12:40 – 13:40,,,
2026-06-22,Lunes,Mañana,11:30 – 12:30,,,
2026-06-24,Miércoles,Tarde,12:40 – 13:40,,,
2026-06-29,Lunes,Mañana,11:30 – 12:30,,,
2026-07-01,Miércoles,Tarde,12:40 – 13:40,,,
2026-07-06,Lunes,Mañana,11:30 – 12:30,,,
2026-07-08,Miércoles,Tarde,12:40 – 13:40,,,
2026-07-13,Lunes,Mañana,11:30 – 12:30,,,
2026-07-15,Miércoles,Tarde,12:40 – 13:40,,,
2026-07-20,Lunes,Mañana,11:30 – 12:30,,,
2026-07-22,Miércoles,Tarde,12:40 – 13:40,,,
2026-07-27,Lunes,Mañana,11:30 – 12:30,,,
2026-07-29,Miércoles,Tarde,12:40 – 13:40,,,
